i  symbol  | frequency | timestamp  |        open        |        high
|        low         |       close        |  prediction  | trainmodel
----------+-----------+------------+--------------------+--------------------
+--------------------+--------------------+--------------+------------
 GOOGL.US | D         | 2026-07-21 | 349.93805937429886 | 369.67026997086947
|    331.25911209549 | 349.93805937429886 | ELASTICNET   | PSO
 GOOGL.US | D         | 2026-07-21 |  349.0807581784902 |  368.7646275121224
|  330.4475718091041 |  349.0807581784902 | ENSEMBLE     | ACO
 GOOGL.US | D         | 2026-07-21 | 346.90503317959497 | 361.09425254438634
| 338.85206516058946 | 346.90503317959497 | QUANTILE     | DE
 GOOGL.US | D         | 2026-07-21 | 349.72206753249395 |  369.4420988407721
| 331.05464943754396 | 349.72206753249395 | THETA        | ACO
 GOOGL.US | D         | 2026-07-21 | 346.90503317959497 | 361.09425254438634
| 338.85206516058946 | 346.90503317959497 | QUANTILE     | GA
 GOOGL.US | D         | 2026-07-21 |  348.7849996753374 | 368.45219186021825
|  330.1676002640705 |  348.7849996753374 | RANDOMFOREST | ACO
 GOOGL.US | D         | 2026-07-21 | 349.46160878427906 |  369.1669534166332
|  330.8080934218153 | 349.46160878427906 | KALMAN       | DE
 GOOGL.US | D         | 2026-07-21 | 349.46160878427906 |  369.1669534166332
|  330.8080934218153 | 349.46160878427906 | KALMAN       | ACO
 GOOGL.US | D         | 2026-07-21 | 349.72206753249395 |  369.4420988407721
| 331.05464943754396 | 349.72206753249395 | THETA        | PSO
 GOOGL.US | D         | 2026-07-21 | 349.93805937429886 | 369.67026997086947
|    331.25911209549 | 349.93805937429886 | ELASTICNET   | ACO
 GOOGL.US | D         | 2026-07-21 | 349.72206753249395 |  369.4420988407721
| 331.05464943754396 | 349.72206753249395 | THETA        | DE
 GOOGL.US | D         | 2026-07-21 |  352.9247793656655 | 372.82540430381414
|  334.0864073436462 |  352.9247793656655 | ARIMA        | CMA-ES
 GOOGL.US | D         | 2026-07-21 | 349.72206753249395 |  369.4420988407721
| 331.05464943754396 | 349.72206753249395 | THETA        | GA
 GOOGL.US | D         | 2026-07-21 |   350.137661493329 | 369.88112719903313
|  331.4480598791079 |   350.137661493329 | XGBOOST      | CMA-ES
 GOOGL.US | D         | 2026-07-21 |  348.7849996753374 | 368.45219186021825
|  330.1676002640705 |  348.7849996753374 | RANDOMFOREST | DE
 GOOGL.US | D         | 2026-07-21 | 348.88933066524123 | 368.56240583715186
|  330.2663622882452 | 348.88933066524123 | LIGHTGBM     | CMA-ES
 GOOGL.US | D         | 2026-07-21 | 348.29973941880286 | 367.93956888242604
|  329.7082421650906 | 348.29973941880286 | ARIMA        | GA
 GOOGL.US | D         | 2026-07-21 | 350.40721854341064 |  370.1658839575703
|  331.7032285487541 | 350.40721854341064 | ENSEMBLE     | CMA-ES
 GOOGL.US | D         | 2026-07-21 | 349.93805937429886 | 369.67026997086947
|    331.25911209549 | 349.93805937429886 | ELASTICNET   | DE
 GOOGL.US | D         | 2026-07-21 | 346.90503317959497 | 361.09425254438634
| 338.85206516058946 | 346.90503317959497 | QUANTILE     | CMA-ES
 GOOGL.US | D         | 2026-07-21 | 349.46160878427906 |  369.1669534166332
|  330.8080934218153 | 349.46160878427906 | KALMAN       | GA
 GOOGL.US | D         | 2026-07-21 | 349.72206753249395 |  369.4420988407721
| 331.05464943754396 | 349.72206753249395 | THETA        | CMA-ES
 GOOGL.US | D         | 2026-07-21 |  348.0449778914798 | 367.67044193249643
