Date	Open	High	Low	Close	Source
2026-08-03	62028.89688091	70981.09496093	54205.75789061	62028.89688091	Predicted
2026-08-02	62275.77045068	70871.44847067	54722.62341063	62275.77045068	Predicted
2026-08-01	62522.76049498	70747.00019173	55254.57714559	62522.76049498	Predicted
2026-07-31	62769.78267319	70606.28352532	55803.04499991	62769.78267319	Predicted
2026-07-30	63016.87705832	70447.69816215	56369.85874319	63016.87705832	Predicted
2026-07-29	63264.10571899	70269.29328562	56957.26945987	63264.10571899	Predicted
2026-07-28	63510.91471433	70067.91038749	57567.52649742	63510.91471433	Predicted
2026-07-27	63756.44150741	69839.29788847	58203.38916035	63756.44150741	Predicted
2026-07-26	64001.76976561	69580.15749345	58870.61312726	64001.76976561	Predicted
2026-07-25	64248.11707652	69285.34065913	59577.11268515	64248.11707652	Predicted
2026-07-24	64487.10266628	68935.89013159	60325.41833222	64487.10266628	Predicted
2026-07-23	64706.50617949	68502.09737784	61121.22259356	64706.50617949	Predicted
2026-07-22	64924.63086243	67970.00835371	62015.70067032	64924.63086243	Predicted
2026-07-21	65159.72243507	67268.92538211	63116.65310093	65159.72243507	Predicted
2026-07-20	64722.55	65799	63100	65255.51	Historical
2026-07-19	64834.21	64967.25	64280	64722.54	Historical
2026-07-18	63931.67	64865	63886.65	64834.22	Historical
2026-07-17	63830.2	64387.99	62537.56	63931.67	Historical
2026-07-16	64756.28	64997.52	63748.74	63830.2	Historical
2026-07-15	65043.99	65600	64485	64756.28	Historical
2026-07-14	62334.52	65100	62272.2	65043.98	Historical
2026-07-13	63780	64425	61824.97	62334.52	Historical
2026-07-12	63819.01	64290.11	63640.83	63780	Historical
2026-07-11	64161.72	64504.11	63819	63819	Historical
2026-07-10	63230.01	64692.83	62926.01	64161.72	Historical
2026-07-09	62290.01	63500	61705.29	63230	Historical
2026-07-08	63364	63761.99	61544.56	62290	Historical
2026-07-07	64042.93	64314	62671.39	63363.99	Historical
